,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,milediff,total_P,motor_P,speeddiff,milegap,tempMAXMINdiff,SOCgap
0,0.0,550.6,0.0,100.0,23.0,18.0,554.0,0.0,45402.8,-0.0999999999985448,0.0,0.0,,0.0,5.0,0.0
1,0.0,550.5,0.0,100.0,23.0,18.0,554.0,0.0,45402.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2,0.0,550.5,0.0,100.0,23.0,18.0,554.0,0.0,45402.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0
3,0.0,550.3,1.0,100.0,23.0,18.0,554.0,0.0,45402.8,0.0,550.3,0.0,0.0,0.0,5.0,0.0
4,1.0,548.6,15.0,100.0,23.0,18.0,552.0,0.0,45402.8,0.0,8229.0,0.0,1.0,0.0,5.0,0.0
5,9.0,545.9,30.0,100.0,23.0,18.0,549.0,23.0,45402.8,0.0,16377.0,12627.0,8.0,0.0,5.0,0.0
6,10.0,544.5,29.0,100.0,23.0,18.0,547.0,24.0,45402.8,0.0,15790.5,13128.0,1.0,0.0,5.0,0.0
7,21.0,541.5,46.0,100.0,23.0,18.0,545.0,28.0,45402.8,0.0,24909.0,15260.0,11.0,0.0,5.0,0.0
8,23.0,541.6,0.0,100.0,23.0,18.0,545.0,0.0,45402.9,0.0999999999985448,0.0,0.0,2.0,0.0999999999985448,5.0,0.0
9,28.0,540.0,-1.0,100.0,23.0,18.0,543.0,0.0,45403.0,0.0999999999985448,-540.0,0.0,5.0,0.1999999999970896,5.0,0.0
10,9.0,540.3,1.0,100.0,23.0,18.0,544.0,0.0,45403.0,0.0,540.3,0.0,-19.0,0.1999999999970896,5.0,0.0
11,9.0,539.0,33.0,100.0,23.0,18.0,542.0,27.0,45403.0,0.0,17787.0,14634.0,0.0,0.1999999999970896,5.0,0.0
12,21.0,538.1,25.0,99.0,23.0,18.0,541.0,19.0,45403.1,0.0999999999985448,13452.5,10279.0,12.0,0.2999999999956344,5.0,1.0
13,28.0,536.7,42.0,99.0,23.0,18.0,537.0,82.0,45403.2,0.0999999999985448,22541.4,44034.0,7.0,0.3999999999941792,5.0,1.0
14,38.0,534.2,54.0,99.0,23.0,18.0,537.0,41.0,45403.2,0.0,28846.80000000001,22017.0,10.0,0.3999999999941792,5.0,1.0
15,41.0,534.3,41.0,99.0,23.0,18.0,537.0,30.0,45403.4,0.2000000000043656,21906.3,16110.0,3.0,0.5999999999985448,5.0,1.0
16,42.0,532.5,74.0,99.0,23.0,18.0,536.0,43.0,45403.5,0.0999999999985448,39405.0,23048.0,1.0,0.6999999999970896,5.0,1.0
17,41.0,534.0,45.0,99.0,23.0,18.0,536.0,45.0,45403.6,0.0999999999985448,24030.0,24120.0,-1.0,0.7999999999956344,5.0,1.0
18,45.0,534.0,28.0,99.0,23.0,18.0,537.0,20.0,45403.7,0.0999999999985448,14952.0,10740.0,4.0,0.8999999999941792,5.0,1.0
19,44.0,535.4,0.0,99.0,23.0,18.0,539.0,0.0,45403.8,0.10000000000582077,0.0,0.0,-1.0,1.0,5.0,1.0
20,42.0,533.4,50.0,99.0,23.0,18.0,537.0,32.0,45403.9,0.0999999999985448,26670.0,17184.0,-2.0,1.0999999999985448,5.0,1.0
21,40.0,531.8,81.0,99.0,23.0,18.0,535.0,61.0,45404.0,0.0999999999985448,43075.8,32635.0,-2.0,1.1999999999970896,5.0,1.0
22,44.0,532.7,49.0,99.0,23.0,18.0,536.0,36.0,45404.2,0.1999999999970896,26102.30000000001,19296.0,4.0,1.3999999999941792,5.0,1.0
23,44.0,532.5,51.0,99.0,23.0,18.0,535.0,38.0,45404.3,0.10000000000582077,27157.5,20330.0,0.0,1.5,5.0,1.0
24,44.0,533.4,30.0,99.0,23.0,18.0,536.0,22.0,45404.4,0.0999999999985448,16002.0,11792.0,0.0,1.5999999999985448,5.0,1.0
25,41.0,534.4,13.0,98.0,23.0,18.0,538.0,9.0,45404.5,0.0999999999985448,6947.2,4842.0,-3.0,1.6999999999970896,5.0,2.0
26,40.0,530.3,108.0,98.0,23.0,18.0,533.0,92.0,45404.6,0.0999999999985448,57272.4,49036.0,-1.0,1.7999999999956344,5.0,2.0
27,45.0,533.5,22.0,98.0,23.0,18.0,537.0,18.0,45404.7,0.0999999999985448,11737.0,9666.0,5.0,1.8999999999941792,5.0,2.0
28,36.0,535.2,0.0,98.0,23.0,18.0,539.0,0.0,45404.9,0.2000000000043656,0.0,0.0,-9.0,2.0999999999985453,5.0,2.0
