,time,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage
0,20180714140420,540.8,9.0,100,30.0,28.0,541.0,0.0,52028.5
1,20180714140430,540.5,9.0,100,30.0,28.0,541.0,0.0,
2,20180714140440,540.2,9.0,100,30.0,28.0,540.0,0.0,
3,20180714140450,540.0,9.0,100,30.0,28.0,540.0,0.0,
4,20180714140500,539.7,9.0,100,30.0,28.0,540.0,0.0,
5,20180714140510,539.5,9.0,100,30.0,28.0,540.0,0.0,
6,20180714140520,539.2,9.0,100,30.0,28.0,539.0,0.0,
7,20180714140530,539.0,10.0,100,30.0,28.0,539.0,0.0,
8,20180714140540,538.7,11.0,100,30.0,28.0,539.0,0.0,
9,20180714140550,538.4,13.0,100,30.0,28.0,539.0,1.0,
10,20180714140600,535.5,73.0,100,30.0,28.0,535.0,62.0,
11,20180714140610,537.0,15.0,99,30.0,28.0,537.0,0.0,
12,20180714140620,535.9,15.0,99,30.0,28.0,536.0,4.0,
13,20180714140630,534.9,82.0,99,30.0,28.0,533.0,87.0,
14,20180714140640,535.5,16.0,99,30.0,28.0,536.0,0.0,
15,20180714140650,535.0,16.0,99,30.0,28.0,536.0,0.0,
16,20180714140700,535.0,17.0,99,30.0,28.0,535.0,0.0,
17,20180714140710,535.2,18.0,99,30.0,28.0,535.0,0.0,
18,20180714140720,535.1,24.0,99,30.0,28.0,535.0,1.0,
19,20180714140730,529.4,121.0,99,30.0,28.0,529.0,109.0,
20,20180714140740,533.0,66.0,99,30.0,28.0,531.0,98.0,
21,20180714140750,534.6,18.0,99,30.0,28.0,535.0,0.0,
22,20180714140800,532.0,66.0,99,30.0,28.0,534.0,10.0,
23,20180714140810,534.6,17.0,99,30.0,28.0,533.0,47.0,
24,20180714140820,534.4,56.0,98,30.0,28.0,533.0,56.0,
25,20180714140830,531.9,91.0,98,30.0,28.0,534.0,22.0,
26,20180714140840,534.6,16.0,98,30.0,28.0,533.0,55.0,
27,20180714140850,531.2,62.0,98,30.0,29.0,533.0,25.0,
28,20180714140900,531.7,108.0,98,30.0,29.0,532.0,64.0,
29,20180714140910,534.8,18.0,98,30.0,29.0,535.0,14.0,
30,20180714140920,534.4,20.0,98,30.0,29.0,535.0,6.0,
31,20180714140930,535.4,17.0,98,30.0,29.0,536.0,0.0,
32,20180714140940,535.4,27.0,98,30.0,29.0,536.0,0.0,
33,20180714140950,528.9,141.0,98,30.0,29.0,530.0,102.0,
34,20180714141000,532.9,42.0,98,30.0,29.0,535.0,-10.0,
35,20180714141010,533.8,15.0,97,30.0,29.0,536.0,-14.0,
36,20180714141020,534.2,19.0,97,30.0,29.0,535.0,-11.0,
37,20180714141030,532.6,79.0,97,30.0,29.0,533.0,60.0,
38,20180714141040,530.7,120.0,97,30.0,29.0,532.0,63.0,
39,20180714141050,534.6,40.0,97,30.0,29.0,533.0,57.0,
40,20180714141100,531.4,117.0,97,30.0,29.0,531.0,118.0,
41,20180714141110,535.2,0.0,97,30.0,29.0,536.0,-7.0,
42,20180714141120,538.6,-66.0,97,30.0,29.0,541.0,-103.0,
43,20180714141130,535.4,5.0,97,30.0,29.0,536.0,-12.0,
44,20180714141140,535.7,5.0,97,30.0,29.0,536.0,-12.0,
45,20180714141150,535.8,7.0,97,30.0,29.0,536.0,-12.0,
46,20180714141200,540.1,-92.0,97,30.0,29.0,539.0,-42.0,
47,20180714141210,536.0,5.0,97,30.0,29.0,537.0,-11.0,
48,20180714141220,531.9,108.0,96,30.0,29.0,535.0,22.0,
49,20180714141230,536.3,7.0,96,30.0,29.0,535.0,36.0,
50,20180714141240,536.0,5.0,96,30.0,29.0,537.0,-11.0,
51,20180714141250,535.3,4.0,96,30.0,29.0,536.0,-13.0,
52,20180714141300,539.4,-28.0,96,30.0,29.0,537.0,-2.0,
53,20180714141310,530.6,133.0,96,30.0,29.0,531.0,121.0,
54,20180714141320,534.5,30.0,96,30.0,29.0,536.0,-1.0,
55,20180714141330,535.2,7.0,96,30.0,29.0,536.0,-6.0,
56,20180714141340,533.3,83.0,96,30.0,29.0,534.0,41.0,
57,20180714141350,535.8,0.0,96,30.0,29.0,534.0,40.0,
58,20180714141400,533.3,54.0,96,30.0,29.0,534.0,49.0,
59,20180714141410,534.0,43.0,96,30.0,29.0,536.0,-5.0,
60,20180714141420,540.0,-69.0,96,30.0,29.0,540.0,-70.0,
61,20180714141430,534.8,3.0,96,30.0,29.0,531.0,118.0,
62,20180714141440,535.5,1.0,95,31.0,29.0,536.0,-6.0,
63,20180714141450,534.5,37.0,95,31.0,29.0,536.0,-6.0,
64,20180714141500,535.6,5.0,95,31.0,29.0,533.0,76.0,
65,20180714141510,533.6,62.0,95,31.0,29.0,535.0,30.0,
66,20180714141520,533.3,64.0,95,31.0,29.0,534.0,51.0,
67,20180714141530,535.5,2.0,95,31.0,29.0,536.0,-6.0,
68,20180714141540,535.8,5.0,95,31.0,29.0,534.0,59.0,
69,20180714141550,535.2,8.0,95,31.0,29.0,536.0,-4.0,
