,time,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,
0,20181110055952,540.9,1,100,22,17,540,0,63591.1,
1,20181110060002,528.5,213,100,22,17,525,239,,
2,20181110060012,530.9,95,100,22,17,530,114,,
3,20181110060022,532,62,99,22,17,531,85,,
4,20181110060032,533.2,39,99,22,17,533,50,,
5,20181110060042,535.1,9,99,22,17,533,51,,
6,20181110060052,535.5,1,99,22,17,535,6,,
7,20181110060102,528.7,100,99,22,17,529,96,,
8,20181110060112,530.1,81,99,22,17,529,95,,
9,20181110060122,530.2,77,99,22,17,533,11,,
10,20181110060132,529.2,90,99,22,17,529,80,,
11,20181110060142,533.2,11,99,22,17,532,38,,
12,20181110060152,534.1,11,99,22,17,534,0,,
13,20181110060202,534.4,14,99,22,17,534,0,,
14,20181110060212,534.6,14,99,22,17,535,0,,
15,20181110060222,534.8,14,99,22,17,535,0,,
16,20181110060232,531.3,32,99,22,17,528,105,,
17,20181110060242,527.6,106,98,22,17,532,20,,
18,20181110060252,533.2,13,98,22,17,533,0,,
19,20181110060302,533.5,38,98,22,17,531,51,,
20,20181110060312,533.7,11,98,22,17,534,0,,
21,20181110060322,536.4,-27,98,22,17,537,-50,,
22,20181110060332,534.3,14,98,22,17,534,0,,
23,20181110060342,534.3,23,98,22,17,534,0,,
24,20181110060352,534.6,17,98,22,17,535,0,,
25,20181110060402,534.8,17,98,22,17,535,0,,
26,20181110060412,532.7,51,98,22,17,534,4,,
27,20181110060422,523.2,200,98,22,17,523,190,,
28,20181110060432,528.4,87,98,22,17,533,9,,
29,20181110060442,534.7,2,98,22,17,535,-11,,
30,20181110060452,535.1,17,98,22,17,536,-16,,
31,20181110060502,534.9,18,98,22,17,535,0,,
32,20181110060512,521.1,250,98,22,17,519,263,,
33,20181110060522,532.5,8,97,22,17,527,99,,
34,20181110060532,531.5,44,97,22,17,531,44,,
35,20181110060542,528.7,100,97,22,17,530,55,,
36,20181110060552,532.4,57,97,22,17,532,36,,
37,20181110060602,532.5,3,96,22,17,533,3,,
38,20181110060612,529.1,76,96,22,17,528,81,,
39,20181110060622,532.7,2,96,22,17,533,7,,
40,20181110060632,532.5,6,96,22,17,534,-5,,
41,20181110060642,529.6,37,96,22,17,533,3,,
42,20181110060652,533.7,2,96,22,17,534,0,,
43,20181110060702,526.4,182,96,22,17,522,221,,
44,20181110060712,532.5,2,96,22,17,531,40,,
45,20181110060722,529.1,82,96,22,17,529,80,,
46,20181110060732,532.8,-2,96,22,17,539,-104,,
47,20181110060742,528,122,96,22,17,527,130,,
48,20181110060752,528.8,98,96,22,17,528,85,,
49,20181110060802,532.9,0,96,22,17,533,3,,
50,20181110060812,530.6,83,96,22,17,529,77,,
51,20181110060822,528.8,95,95,22,17,528,87,,
52,20181110060832,529.4,91,95,22,17,529,82,,
53,20181110060842,532.7,57,95,22,17,529,80,,
54,20181110060852,533.3,1,95,22,17,534,0,,
55,20181110060902,541.3,-85,95,22,17,538,-45,,
56,20181110060912,536.1,10,95,22,17,536,-3,,
57,20181110060922,534.5,17,95,22,17,535,0,,
58,20181110060932,534.2,24,95,22,17,534,1,,
59,20181110060942,528.4,99,94,22,17,526,135,,
60,20181110060952,529.2,85,94,22,17,529,79,,
61,20181110061002,525.5,172,94,22,17,524,170,,
62,20181110061012,526,189,94,22,17,522,217,,
63,20181110061022,530.5,89,94,22,17,527,95,,
64,20181110061032,533.7,7,94,22,17,531,45,,
65,20181110061042,533.7,4,94,22,17,534,-6,,
66,20181110061052,534.6,8,94,22,17,535,-12,,
67,20181110061102,539.3,-78,94,22,17,540,-93,,
68,20181110061112,534.1,35,94,22,17,533,18,,
69,20181110061122,527.4,104,94,22,17,528,86,,
70,20181110061132,532.2,32,94,22,17,528,83,,
