,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,milediff,total_P,motor_P,speeddiff,milegap,tempMAXMINdiff,SOCgap
0,0.0,555.2,8.0,100.0,18.0,16.0,559.0,0.0,66223.0,-0.8999999999941792,4441.6,0.0,,0.0,2.0,0.0
1,0.0,553.9,10.0,100.0,18.0,16.0,558.0,0.0,66223.0,0.0,5539.0,0.0,0.0,0.0,2.0,0.0
2,0.0,553.5,5.0,100.0,18.0,16.0,557.0,0.0,66223.0,0.0,2767.5,0.0,0.0,0.0,2.0,0.0
3,0.0,552.8,0.0,100.0,18.0,16.0,556.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4,0.0,551.8,12.0,100.0,18.0,16.0,556.0,0.0,66223.0,0.0,6621.5999999999985,0.0,0.0,0.0,2.0,0.0
5,0.0,551.2,11.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,6063.200000000002,0.0,0.0,0.0,2.0,0.0
6,0.0,551.4,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
7,0.0,551.5,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
8,0.0,551.5,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
9,0.0,551.5,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10,0.0,551.4,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
11,0.0,551.4,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
12,0.0,551.4,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
13,0.0,551.3,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
14,0.0,551.2,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
15,0.0,551.2,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
16,0.0,551.2,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
17,0.0,551.1,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
18,0.0,551.0,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
19,0.0,551.0,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
20,0.0,551.0,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
21,0.0,550.9,0.0,100.0,18.0,16.0,555.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
22,0.0,550.8,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
23,0.0,550.8,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
24,0.0,550.7,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
25,0.0,550.7,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
26,0.0,550.6,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
27,0.0,550.5,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
28,0.0,550.5,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
29,0.0,550.4,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30,0.0,550.4,0.0,100.0,18.0,16.0,554.0,0.0,66223.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
31,12.0,545.7,54.0,100.0,18.0,16.0,549.0,40.0,66223.0,0.0,29467.800000000007,21960.0,12.0,0.0,2.0,0.0
32,17.0,546.3,14.0,100.0,18.0,16.0,548.0,37.0,66223.0,0.0,7648.199999999999,20276.0,5.0,0.0,2.0,0.0
