,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,milediff
0,520.1,60.0,38,20.0,13.0,519.0,62.0,0.0
1,521.2,32.0,38,20.0,13.0,521.0,36.0,0.0
2,521.1,43.0,38,20.0,13.0,521.0,46.0,0.3616796636915482
3,523.8,38.0,38,20.0,13.0,522.0,41.0,0.0
4,528.3,-55.0,38,20.0,13.0,533.0,-118.0,0.0
5,521.2,88.0,38,20.0,13.0,520.0,93.0,0.290839811099956
6,521.3,51.0,38,20.0,13.0,521.0,46.0,0.0
7,521.0,48.0,38,20.0,13.0,520.0,49.0,0.0
8,522.7,35.0,38,20.0,13.0,522.0,35.0,0.36201677885250616
9,532.9,-86.0,38,20.0,13.0,533.0,-80.0,0.0
10,522.2,75.0,38,20.0,13.0,521.0,82.0,0.0
11,530.0,-43.0,38,20.0,13.0,530.0,-46.0,0.25628688997801435
12,527.3,3.0,38,20.0,13.0,527.0,0.0,0.0
13,519.1,93.0,38,20.0,13.0,518.0,98.0,0.0
14,517.9,84.0,38,20.0,13.0,517.0,86.0,0.14541319516681359
15,527.4,-13.0,38,20.0,13.0,533.0,-114.0,0.0
16,522.4,31.0,38,20.0,13.0,523.0,17.0,0.0
17,523.3,29.0,38,20.0,13.0,523.0,24.0,0.28427105797442936
18,523.3,30.0,38,20.0,13.0,523.0,27.0,0.0
19,523.1,34.0,38,20.0,13.0,522.0,33.0,0.0
20,527.7,2.0,38,20.0,13.0,527.0,0.0,0.28917997365818704
21,522.4,40.0,38,20.0,13.0,522.0,36.0,0.0
22,521.4,54.0,38,20.0,13.0,521.0,45.0,0.0
23,525.9,-2.0,38,20.0,13.0,524.0,22.0,0.35205308217183456
24,527.0,4.0,38,20.0,13.0,527.0,0.0,0.0
25,521.6,56.0,38,20.0,13.0,521.0,47.0,0.0
26,521.3,49.0,38,20.0,13.0,521.0,43.0,0.16541050914399544
27,523.7,24.0,38,20.0,13.0,523.0,20.0,0.0
28,525.9,-8.0,38,20.0,13.0,526.0,-9.0,0.0
29,527.9,3.0,38,20.0,13.0,526.0,16.0,0.3153954523816694
30,522.4,51.0,38,20.0,13.0,522.0,41.0,0.0
31,521.9,42.0,37,20.0,13.0,521.0,43.0,0.0
32,523.1,27.0,37,20.0,13.0,522.0,25.0,0.35897913709124746
33,527.3,-1.0,37,20.0,13.0,527.0,-4.0,0.0
34,523.0,38.0,37,20.0,13.0,522.0,34.0,0.0
35,523.6,21.0,37,20.0,13.0,523.0,20.0,0.296473002718314
36,522.6,37.0,37,20.0,13.0,522.0,37.0,0.0
37,525.7,-8.0,37,20.0,13.0,526.0,-11.0,0.0
38,520.2,87.0,37,20.0,13.0,519.0,97.0,0.321310098866361
39,520.4,55.0,36,20.0,13.0,520.0,51.0,0.0
40,523.4,19.0,36,20.0,13.0,523.0,18.0,0.0
41,528.1,7.0,36,20.0,13.0,526.0,20.0,0.3556437542024608
42,520.5,60.0,36,20.0,13.0,520.0,53.0,0.0
43,525.0,-8.0,36,20.0,13.0,524.0,15.0,0.0
44,521.8,50.0,36,20.0,13.0,521.0,40.0,0.3612187214856522
45,522.2,35.0,36,20.0,13.0,522.0,31.0,0.0
46,522.0,38.0,36,20.0,13.0,521.0,33.0,0.0
47,525.5,-9.0,36,20.0,13.0,525.0,-10.0,0.34721492765800377
48,521.0,48.0,36,20.0,13.0,520.0,46.0,0.0
49,522.3,30.0,36,20.0,13.0,522.0,27.0,0.0
50,523.8,0.0,36,20.0,13.0,525.0,-11.0,0.33691828610966823
51,523.9,24.0,36,20.0,13.0,523.0,20.0,0.0
52,525.4,-2.0,36,20.0,13.0,525.0,-3.0,0.0
53,526.1,2.0,36,20.0,13.0,526.0,0.0,0.2593835209144195
54,527.4,1.0,36,20.0,13.0,527.0,0.0,0.0
55,527.2,2.0,36,20.0,13.0,527.0,0.0,0.0
56,527.3,1.0,36,20.0,13.0,527.0,0.0,0.0046402815684981665
57,527.5,1.0,36,20.0,13.0,527.0,0.0,0.0
58,527.7,1.0,36,20.0,13.0,527.0,0.0,0.0
59,527.8,1.0,36,20.0,13.0,528.0,0.0,0.0046402815684981665
60,528.0,1.0,36,20.0,13.0,528.0,0.0,0.0
61,528.1,1.0,36,20.0,13.0,528.0,0.0,0.0
62,528.2,0.0,36,20.0,13.0,528.0,0.0,0.0042825181839307135
63,528.3,0.0,36,20.0,13.0,528.0,0.0,0.0
64,528.4,0.0,36,20.0,13.0,528.0,0.0,0.0
65,528.4,0.0,36,20.0,13.0,528.0,0.0,0.0064735957443550355
66,528.5,0.0,36,20.0,13.0,528.0,0.0,0.0
67,528.6,0.0,36,20.0,13.0,528.0,0.0,0.0
68,528.7,0.0,36,20.0,13.0,528.0,0.0,0.0064735957443550355
69,528.7,0.0,36,20.0,13.0,529.0,0.0,0.0
70,528.8,0.0,36,20.0,13.0,528.0,0.0,0.0
71,528.8,0.0,36,20.0,13.0,529.0,0.0,0.006539395188055276
72,528.9,0.0,36,20.0,13.0,529.0,0.0,0.0
73,528.9,0.0,36,20.0,13.0,529.0,0.0,0.0
74,528.9,0.0,36,20.0,13.0,529.0,0.0,0.006539395188055276
75,529.0,0.0,36,20.0,13.0,529.0,0.0,0.0
76,529.0,0.0,36,20.0,13.0,529.0,0.0,0.0
77,529.1,0.0,36,20.0,13.0,529.0,0.0,0.0029867115423921338
78,529.1,0.0,36,20.0,13.0,529.0,0.0,0.0
79,529.2,0.0,36,20.0,13.0,529.0,0.0,0.0
80,529.2,0.0,36,20.0,13.0,529.0,0.0,0.0029867115423921338
81,529.2,0.0,36,20.0,13.0,529.0,0.0,0.0
82,529.3,0.0,36,20.0,13.0,529.0,0.0,0.0
83,529.3,0.0,36,20.0,13.0,529.0,0.0,0.0027740550194259965
84,529.3,0.0,36,20.0,13.0,529.0,0.0,0.0
85,529.3,0.0,36,20.0,13.0,529.0,0.0,0.0
86,529.4,0.0,36,20.0,13.0,529.0,0.0,0.0024373551568941812
87,529.4,0.0,36,20.0,13.0,529.0,0.0,0.0
88,529.4,0.0,36,20.0,13.0,529.0,0.0,0.0
89,529.4,0.0,36,20.0,13.0,529.0,0.0,0.0022891134586358686
90,529.5,0.0,36,20.0,13.0,529.0,0.0,0.0
91,529.5,0.0,36,20.0,13.0,529.0,0.0,0.0
92,529.5,0.0,36,20.0,13.0,529.0,0.0,0.0022891134586358686
93,529.5,0.0,36,20.0,13.0,529.0,0.0,0.0
94,529.5,0.0,36,20.0,13.0,529.0,0.0,0.0
95,529.6,0.0,36,20.0,13.0,529.0,0.0,0.0022891134586358686
96,529.6,0.0,36,20.0,13.0,529.0,0.0,0.0
97,529.6,0.0,36,20.0,13.0,529.0,0.0,0.0
98,529.6,0.0,36,20.0,13.0,529.0,0.0,0.0022891134586358686
99,529.7,0.0,36,20.0,13.0,529.0,0.0,0.0
100,529.7,0.0,36,20.0,13.0,529.0,0.0,0.0
101,529.7,0.0,36,20.0,13.0,529.0,0.0,0.0020041176544630737
102,529.7,0.0,36,20.0,13.0,530.0,0.0,0.0
103,529.7,0.0,36,20.0,13.0,530.0,0.0,0.0
104,529.8,0.0,36,20.0,13.0,530.0,0.0,0.0021544706349587456
105,529.8,0.0,36,20.0,13.0,530.0,0.0,0.0
106,529.8,0.0,36,20.0,13.0,530.0,0.0,0.0
107,529.8,0.0,36,20.0,13.0,530.0,0.0,0.0016767323987982017
108,529.8,0.0,36,20.0,13.0,530.0,0.0,0.0
109,529.8,0.0,36,20.0,13.0,530.0,0.0,0.0
110,529.8,0.0,36,20.0,13.0,530.0,0.0,0.0016767323987982017
111,529.9,0.0,36,20.0,13.0,530.0,0.0,0.0
112,529.9,0.0,36,20.0,13.0,530.0,0.0,0.0
113,529.9,0.0,36,20.0,13.0,530.0,0.0,0.00164303173003728
114,529.9,0.0,36,20.0,13.0,530.0,0.0,0.0
115,529.9,0.0,36,20.0,13.0,530.0,0.0,0.0
116,529.9,0.0,36,20.0,13.0,530.0,0.0,0.00164303173003728
117,530.0,0.0,36,20.0,13.0,530.0,0.0,0.0
118,530.0,0.0,36,20.0,13.0,530.0,0.0,0.0
119,530.0,0.0,36,20.0,13.0,530.0,0.0,0.00164303173003728
120,530.0,0.0,36,20.0,13.0,530.0,0.0,0.0
121,530.0,0.0,36,20.0,13.0,530.0,0.0,0.0
122,530.0,0.0,36,20.0,13.0,530.0,0.0,0.00164303173003728
123,530.0,1.0,36,20.0,13.0,530.0,0.0,0.0
124,526.4,47.0,36,20.0,12.0,525.0,51.0,0.0
125,526.9,22.0,36,20.0,12.0,527.0,17.0,0.14016946784868994
126,527.6,2.0,36,20.0,12.0,528.0,0.0,0.0
127,528.6,4.0,36,20.0,13.0,529.0,0.0,0.0
128,528.6,5.0,36,20.0,13.0,529.0,1.0,0.005874976682414637
129,526.8,32.0,36,20.0,12.0,526.0,17.0,0.0
130,527.9,-14.0,36,20.0,12.0,528.0,-35.0,0.0
131,522.4,69.0,36,20.0,12.0,521.0,61.0,0.2816169129533362
132,519.2,93.0,36,20.0,12.0,518.0,72.0,0.0
133,520.9,47.0,36,20.0,12.0,521.0,38.0,0.0
134,531.1,-104.0,36,20.0,12.0,527.0,-20.0,0.3375095201165164
135,519.3,80.0,35,20.0,12.0,518.0,70.0,0.0
136,518.5,72.0,35,20.0,12.0,518.0,65.0,0.0
137,518.5,65.0,35,20.0,12.0,517.0,65.0,0.34739190249385665
138,517.9,64.0,35,20.0,12.0,517.0,67.0,0.0
139,520.0,45.0,34,20.0,13.0,520.0,45.0,0.0
140,520.8,18.0,34,20.0,12.0,523.0,0.0,0.29840066942844234
141,519.2,56.0,34,20.0,13.0,519.0,53.0,0.0
142,517.4,79.0,34,20.0,12.0,517.0,64.0,0.0
143,521.0,26.0,34,20.0,13.0,522.0,0.0,0.3119239176978785
144,517.6,78.0,34,20.0,12.0,517.0,77.0,0.0
145,519.2,51.0,34,20.0,13.0,519.0,48.0,0.0
146,520.1,39.0,34,20.0,13.0,520.0,39.0,0.33922595504293257
147,519.4,51.0,34,20.0,13.0,519.0,51.0,0.0
148,524.0,0.0,34,20.0,13.0,524.0,-12.0,0.0
149,516.6,119.0,34,20.0,13.0,516.0,112.0,0.32140192076581403
150,519.1,51.0,34,20.0,13.0,519.0,42.0,0.0
151,532.5,-98.0,34,20.0,13.0,527.0,-10.0,0.0
152,514.0,124.0,34,20.0,13.0,513.0,126.0,0.3221582882896682
153,518.3,61.0,34,20.0,13.0,517.0,66.0,0.0
154,521.6,-4.0,34,20.0,13.0,519.0,45.0,0.0
155,523.3,-3.0,34,20.0,13.0,523.0,-2.0,0.339823168561609
156,526.8,-4.0,34,20.0,13.0,532.0,-95.0,0.0
157,516.5,81.0,34,20.0,13.0,515.0,109.0,0.0
158,521.1,32.0,33,20.0,13.0,519.0,47.0,0.2759665539389938
159,520.4,34.0,33,20.0,13.0,520.0,32.0,0.0
160,521.4,30.0,33,20.0,13.0,521.0,21.0,0.0
161,525.6,-3.0,33,20.0,13.0,525.0,-12.0,0.34826861402608966
162,517.4,76.0,33,20.0,13.0,518.0,51.0,0.0
163,520.1,42.0,33,20.0,13.0,520.0,27.0,0.0
164,521.1,24.0,33,20.0,13.0,521.0,22.0,0.3583778161242457
165,530.1,-100.0,33,20.0,13.0,527.0,-20.0,0.0
166,519.8,81.0,33,20.0,13.0,520.0,62.0,0.0
167,521.0,41.0,32,20.0,13.0,520.0,32.0,0.31003258667035577
168,520.3,46.0,32,20.0,13.0,520.0,33.0,0.0
169,521.1,39.0,32,20.0,13.0,520.0,29.0,0.0
170,522.2,31.0,32,20.0,13.0,522.0,21.0,0.36340199505267273
171,525.0,9.0,32,20.0,13.0,525.0,-2.0,0.0
172,513.1,150.0,32,20.0,13.0,512.0,153.0,0.0
173,515.5,90.0,32,20.0,13.0,515.0,93.0,0.27829296804146353
174,520.1,34.0,32,20.0,13.0,519.0,43.0,0.0
175,524.9,-3.0,32,20.0,13.0,524.0,-9.0,0.0
176,521.7,29.0,32,21.0,13.0,521.0,25.0,0.3329420542061423
177,520.1,42.0,32,21.0,13.0,520.0,32.0,0.0
178,521.6,9.0,32,21.0,13.0,523.0,-5.0,0.0
179,524.1,-1.0,32,21.0,13.0,527.0,-45.0,0.31056016902746775
180,520.0,44.0,32,21.0,13.0,522.0,0.0,0.0
181,518.7,60.0,32,21.0,13.0,518.0,55.0,0.0
