,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,milediff
0,544.9,13.0,100,18.0,12.0,544.0,0.0,0.0
1,544.3,13.0,100,18.0,12.0,544.0,0.0,0.0
2,543.7,13.0,100,18.0,12.0,543.0,0.0,0.0035367270864567787
3,543.1,13.0,100,18.0,12.0,542.0,0.0,0.0
4,542.5,12.0,100,18.0,12.0,542.0,0.0,0.0
5,542.0,12.0,100,18.0,12.0,541.0,0.0,0.0034893280375219216
6,541.5,12.0,100,18.0,12.0,541.0,0.0,0.0
7,541.0,12.0,99,18.0,12.0,540.0,0.0,0.0
8,540.6,12.0,99,18.0,12.0,540.0,0.0,0.002087225109357907
9,540.2,12.0,99,18.0,12.0,540.0,0.0,0.0
10,539.8,12.0,99,18.0,12.0,539.0,0.0,0.0
11,539.5,12.0,99,18.0,12.0,539.0,0.0,0.002087225109357907
12,539.2,12.0,99,18.0,12.0,538.0,0.0,0.0
13,538.9,12.0,99,18.0,12.0,538.0,0.0,0.0
14,538.6,12.0,99,18.0,12.0,538.0,0.0,0.002087225109357907
15,538.4,12.0,99,18.0,12.0,538.0,0.0,0.0
16,538.1,12.0,99,18.0,12.0,537.0,0.0,0.0
17,537.9,12.0,99,18.0,12.0,537.0,0.0,0.002087225109357907
18,537.7,12.0,99,18.0,12.0,537.0,0.0,0.0
19,537.5,12.0,99,18.0,13.0,537.0,0.0,0.0
20,537.3,12.0,99,18.0,13.0,537.0,0.0,0.002087225109357907
21,537.2,12.0,99,18.0,13.0,537.0,0.0,0.0
22,537.0,12.0,99,18.0,13.0,536.0,0.0,0.0
23,536.9,12.0,99,19.0,13.0,536.0,0.0,0.002087225109357907
24,536.8,12.0,99,19.0,13.0,536.0,0.0,0.0
25,536.6,12.0,99,19.0,13.0,536.0,0.0,0.0
26,536.5,12.0,99,19.0,13.0,536.0,0.0,0.0026232683513348672
27,536.4,12.0,99,19.0,13.0,536.0,0.0,0.0
28,536.3,12.0,99,19.0,13.0,536.0,0.0,0.0
29,536.2,12.0,99,19.0,13.0,536.0,0.0,0.004577163543262317
30,536.2,12.0,99,19.0,13.0,536.0,0.0,0.0
31,536.7,2.0,99,19.0,13.0,536.0,0.0,0.0
32,536.9,2.0,99,19.0,13.0,536.0,0.0,0.004867562956575068
33,537.0,2.0,99,19.0,13.0,536.0,0.0,0.0
34,537.1,2.0,99,19.0,13.0,537.0,0.0,0.0
35,537.1,2.0,99,19.0,13.0,537.0,0.0,0.0028870385667133687
